customer_id,total_transactions,total_spent,avg_transaction,first_purchase,last_purchase
CS5295,25,1637.0,65.48,2011-10-27,2014-11-25
CS4768,26,1721.0,66.19,2011-05-20,2015-03-15
CS2122,23,1648.0,71.65,2011-10-28,2015-02-23
CS1217,20,1431.0,71.55,2011-05-22,2014-12-29
CS1850,24,1908.0,79.5,2011-08-02,2015-03-09
CS5539,18,1354.0,75.22,2011-05-27,2015-01-08
CS2724,14,1166.0,83.29,2011-07-03,2014-07-01
CS5902,13,922.0,70.92,2011-05-19,2015-01-30
CS6040,15,1001.0,66.73,2012-01-21,2015-01-26
CS3802,25,1794.0,71.76,2011-05-25,2015-02-18
CS3494,15,1074.0,71.6,2011-08-14,2014-12-30
CS3780,13,794.0,61.08,2011-12-12,2015-02-03
CS1171,22,1555.0,70.68,2011-07-13,2015-03-15
CS2892,17,1181.0,69.47,2011-07-10,2014-09-23
CS5552,15,1008.0,67.2,2011-05-28,2014-12-29
CS6043,25,1702.0,68.08,2011-06-24,2015-02-14
CS4147,25,1739.0,69.56,2011-05-30,2015-02-20
CS4655,17,1245.0,73.24,2011-05-16,2014-09-24
CS3904,24,1704.0,71.0,2011-05-27,2015-02-18
CS4102,21,1418.0,67.52,2011-07-09,2015-02-27
CS2086,28,2071.0,73.96,2011-07-10,2015-03-06
CS6085,18,1208.0,67.11,2011-07-21,2015-03-07
CS1328,15,1043.0,69.53,2011-08-08,2014-08-10
CS4564,22,1466.0,66.64,2011-05-29,2014-05-13
CS5910,20,1712.0,85.6,2011-05-30,2015-03-16
CS2748,23,1537.0,66.83,2011-06-04,2014-11-28
CS5147,18,1197.0,66.5,2011-08-10,2015-02-09
CS1770,25,1734.0,69.36,2011-09-01,2015-03-10
CS3510,23,1603.0,69.7,2011-06-26,2015-01-11
CS2509,13,981.0,75.46,2011-12-05,2014-03-25
CS2859,13,792.0,60.92,2011-08-27,2015-02-27
CS1512,20,1239.0,61.95,2012-01-14,2015-02-21
CS4148,17,1242.0,73.06,2011-07-28,2015-02-07
CS1735,14,952.0,68.0,2011-07-21,2015-03-03
